review_id,case_id,scenario,author_class,author_layer,author_expected_enforce_decision
R001,D13,gitea_cross_tenant,attack,policy,deny
R002,H21,webhook_triage,benign,benign,allow
R003,H11,gitea_push_read,benign,benign,allow
R004,H25,webhook_validate,benign,benign,allow
R005,H06,gitlab_push_read,benign,benign,allow
R006,D19,shell_tool_escalation,attack,policy,deny
R007,D14,imap_wrong_mailbox,attack,policy,deny
R008,H18,imap_tag,benign,benign,allow
R009,D21,ticket_write_escalation,attack,policy,deny
R010,H16,imap_classify,benign,benign,allow
R011,H26,manual_test,benign,benign,allow
R012,D01,webhook_claims_git_push,attack,contract,deny
R013,H27,manual_report,benign,benign,allow
R014,D06,gitea_claims_email,attack,contract,deny
R015,H01,github_push_read,benign,benign,allow
R016,D29,production_credential_rotate,attack,approval,approval_required
R017,D30,production_network_write,attack,approval,approval_required
R018,D16,target_type_issue_only,attack,policy,deny
R019,D23,admin_action_escalation,attack,policy,deny
R020,D10,manual_claims_email,attack,contract,deny
R021,H05,github_pr_sync,benign,benign,allow
R022,H19,imap_archive,benign,benign,allow
R023,D25,ticket_close_action,attack,policy,deny
R024,D05,manual_claims_git_push,attack,contract,deny
R025,H29,cron_report,benign,benign,allow
R026,H23,webhook_notify,benign,benign,allow
R027,D28,production_filesystem_delete,attack,approval,approval_required
R028,D02,github_claims_email,attack,contract,deny
R029,D11,github_cross_tenant,attack,policy,deny
R030,H20,imap_draft,benign,benign,allow
R031,D27,production_secret_read,attack,approval,approval_required
R032,H30,cron_backup_verify,benign,benign,allow
R033,H14,gitea_comment,benign,benign,allow
R034,D22,backup_delete_tool,attack,policy,deny
R035,H12,gitea_issue_open,benign,benign,allow
R036,H15,gitea_pr_close,benign,benign,allow
R037,H02,github_issue_triage,benign,benign,allow
R038,H09,gitlab_issue_comment,benign,benign,allow
R039,H13,gitea_pr_review,benign,benign,allow
R040,D24,email_delete_action,attack,policy,deny
R041,H17,imap_summarize,benign,benign,allow
R042,H10,gitlab_mr_reopen,benign,benign,allow
R043,H07,gitlab_issue_close,benign,benign,allow
R044,H08,gitlab_mr_review,benign,benign,allow
R045,D26,action_declaration_missing,attack,policy,deny
R046,D15,target_type_push_only,attack,policy,deny
R047,H28,manual_cache,benign,benign,allow
R048,D08,webhook_claims_manual,attack,contract,deny
R049,H04,github_comment_respond,benign,benign,allow
R050,D07,gitlab_claims_cron,attack,contract,deny
R051,D12,gitlab_cross_tenant,attack,policy,deny
R052,D03,imap_claims_git_issue,attack,contract,deny
R053,H24,webhook_tag,benign,benign,allow
R054,H03,github_pr_review,benign,benign,allow
R055,D18,target_type_manual_only,attack,policy,deny
R056,D04,cron_claims_webhook,attack,contract,deny
R057,D09,imap_claims_webhook,attack,contract,deny
R058,D20,mail_send_escalation,attack,policy,deny
R059,H22,webhook_route,benign,benign,allow
R060,D17,target_type_pr_only,attack,policy,deny
