review_id,event_source,event_type,requested_action,requested_tool,environment,target_governance_json,reviewer_class,reviewer_governance_layer,reviewer_expected_enforce_decision,reviewer_confidence_1_5,reviewer_notes,reviewer_name,reviewed_at
R001,gitea/foreign/repo,git.issue.opened,git.triage,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.triage""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.read""]}}}",attack,policy,deny,5,事件源不在允许范围内，请求应拒绝,Reviewer D,15/8/2026
R002,webhook/helpdesk,webhook.received,ticket.triage,ticket.read,production,"{""a"":{""governance"":{""allowed_actions"":[""ticket.triage""],""allowed_event_sources"":[""webhook/helpdesk""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""ticket.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R003,gitea/edge/device-1,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R004,webhook/forms,webhook.received,form.validate,form.read,test,"{""a"":{""governance"":{""allowed_actions"":[""form.validate""],""allowed_event_sources"":[""webhook/forms""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""form.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R005,gitlab/platform/service-1,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R006,github/team-alpha/repo,git.push,git.read,shell.exec,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",attack,policy,deny,5,请求工具不在允许范围内，请求应拒绝,Reviewer D,15/8/2026
R007,imap/finance,email.received,email.classify,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.classify""],""allowed_event_sources"":[""imap/support""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",attack,policy,deny,5,事件源不在允许范围内，请求应拒绝,Reviewer D,15/8/2026
R008,imap/alerts,email.received,email.tag,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.tag""],""allowed_event_sources"":[""imap/alerts""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
R009,webhook/helpdesk,webhook.received,ticket.triage,ticket.write,production,"{""a"":{""governance"":{""allowed_actions"":[""ticket.triage""],""allowed_event_sources"":[""webhook/helpdesk""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""ticket.read""]}}}",attack,policy,deny,5,请求工具不在允许范围内，请求应拒绝,Reviewer D,15/8/2026
R010,imap/support,email.received,email.classify,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.classify""],""allowed_event_sources"":[""imap/support""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",benign,benign,allow,5,event source/event type/event action/request tool 均在允许范围，且是非敏感动作。,Reviewer D,15/8/2026
