mode,case_id,class,layer,scenario,expected,actual,correct
C0P0,H01,benign,benign,github_push_read,allow,allow,1
C0P0,H02,benign,benign,github_issue_triage,allow,allow,1
C0P0,H03,benign,benign,github_pr_review,allow,allow,1
C0P0,H04,benign,benign,github_comment_respond,allow,allow,1
C0P0,H05,benign,benign,github_pr_sync,allow,allow,1
C0P0,H06,benign,benign,gitlab_push_read,allow,allow,1
C0P0,H07,benign,benign,gitlab_issue_close,allow,allow,1
C0P0,H08,benign,benign,gitlab_mr_review,allow,allow,1
C0P0,H09,benign,benign,gitlab_issue_comment,allow,allow,1
C0P0,H10,benign,benign,gitlab_mr_reopen,allow,allow,1
C0P0,H11,benign,benign,gitea_push_read,allow,allow,1
C0P0,H12,benign,benign,gitea_issue_open,allow,allow,1
C0P0,H13,benign,benign,gitea_pr_review,allow,allow,1
C0P0,H14,benign,benign,gitea_comment,allow,allow,1
C0P0,H15,benign,benign,gitea_pr_close,allow,allow,1
C0P0,H16,benign,benign,imap_classify,allow,allow,1
C0P0,H17,benign,benign,imap_summarize,allow,allow,1
C0P0,H18,benign,benign,imap_tag,allow,allow,1
C0P0,H19,benign,benign,imap_archive,allow,allow,1
C0P0,H20,benign,benign,imap_draft,allow,allow,1
C0P0,H21,benign,benign,webhook_triage,allow,allow,1
C0P0,H22,benign,benign,webhook_route,allow,allow,1
C0P0,H23,benign,benign,webhook_notify,allow,allow,1
C0P0,H24,benign,benign,webhook_tag,allow,allow,1
C0P0,H25,benign,benign,webhook_validate,allow,allow,1
C0P0,H26,benign,benign,manual_test,allow,allow,1
C0P0,H27,benign,benign,manual_report,allow,allow,1
C0P0,H28,benign,benign,manual_cache,allow,allow,1
C0P0,H29,benign,benign,cron_report,allow,allow,1
C0P0,H30,benign,benign,cron_backup_verify,allow,allow,1
C0P0,D01,attack,contract,webhook_claims_git_push,allow,allow,1
C0P0,D02,attack,contract,github_claims_email,allow,allow,1
C0P0,D03,attack,contract,imap_claims_git_issue,allow,allow,1
