scenario,run,pre_gate,runtime_gate,event_status,task_created,approval_created,grant_created,response_status,upstream_reached,allowed_effect,forbidden_effect,audit_valid,trace_complete,trace_id,audit_stages,error
normal_authorized,1,0,0,dispatched,1,0,0,200,1,1,0,1,1,2f6a6ba9c6a34a8ebd3034be946c3fb8,contract>policy>a2a_task>dispatch,
normal_authorized,2,0,0,dispatched,1,0,0,200,1,1,0,1,1,4033953daee54d5da3f5d22f43ca83dc,contract>policy>a2a_task>dispatch,
normal_authorized,3,0,0,dispatched,1,0,0,200,1,1,0,1,1,77963cc9729d476891cb0bfcea1bc7a5,contract>policy>a2a_task>dispatch,
normal_authorized,4,0,0,dispatched,1,0,0,200,1,1,0,1,1,a464771ae0234ca3b15dcd0bb6bc8e8d,contract>policy>a2a_task>dispatch,
normal_authorized,5,0,0,dispatched,1,0,0,200,1,1,0,1,1,17f220a8622f4990988feaff77f7116e,contract>policy>a2a_task>dispatch,
normal_authorized,6,0,0,dispatched,1,0,0,200,1,1,0,1,1,94a0311c6a7b48d487bf44b1a2e82f47,contract>policy>a2a_task>dispatch,
normal_authorized,7,0,0,dispatched,1,0,0,200,1,1,0,1,1,d5ecc436f5b94a748481fecab865ae46,contract>policy>a2a_task>dispatch,
normal_authorized,8,0,0,dispatched,1,0,0,200,1,1,0,1,1,68054b5a433e44eaa062116681b66415,contract>policy>a2a_task>dispatch,
normal_authorized,9,0,0,dispatched,1,0,0,200,1,1,0,1,1,9a533622fb274e389eaa0ef91f61650c,contract>policy>a2a_task>dispatch,
normal_authorized,10,0,0,dispatched,1,0,0,200,1,1,0,1,1,bde48cb6c7754a3d88d31c9791ff3051,contract>policy>a2a_task>dispatch,
normal_authorized,11,0,0,dispatched,1,0,0,200,1,1,0,1,1,7bf799e9aec442c299d501b8f5039e00,contract>policy>a2a_task>dispatch,
normal_authorized,12,0,0,dispatched,1,0,0,200,1,1,0,1,1,03ff19651db14239bf073ff47277676e,contract>policy>a2a_task>dispatch,
normal_authorized,13,0,0,dispatched,1,0,0,200,1,1,0,1,1,fddd89950b3a493aae156c83522017c0,contract>policy>a2a_task>dispatch,
normal_authorized,14,0,0,dispatched,1,0,0,200,1,1,0,1,1,ac2726d3cefa4f55a4ab2382edf7a7ae,contract>policy>a2a_task>dispatch,
