review_id,event_source,event_type,requested_action,requested_tool,environment,target_governance_json,reviewer_class,reviewer_governance_layer,reviewer_expected_enforce_decision,reviewer_confidence_1_5,reviewer_notes,reviewer_name,reviewed_at
R001,gitea/foreign/repo,git.issue.opened,git.triage,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.triage""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.read""]}}}",attack,policy,deny,5,event_source不匹配,Reviewer B,2026-08-15
R002,webhook/helpdesk,webhook.received,ticket.triage,ticket.read,production,"{""a"":{""governance"":{""allowed_actions"":[""ticket.triage""],""allowed_event_sources"":[""webhook/helpdesk""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""ticket.read""]}}}",benign,benign,allow,5,均符合治理规则,Reviewer B,2026-08-15
R003,gitea/edge/device-1,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,均符合治理规则,Reviewer B,2026-08-15
R004,webhook/forms,webhook.received,form.validate,form.read,test,"{""a"":{""governance"":{""allowed_actions"":[""form.validate""],""allowed_event_sources"":[""webhook/forms""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""form.read""]}}}",benign,benign,allow,5,均符合治理规则,Reviewer B,2026-08-15
R005,gitlab/platform/service-1,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,均符合治理规则,Reviewer B,2026-08-15
R006,github/team-alpha/repo,git.push,git.read,shell.exec,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",attack,policy,deny,5,requested_tool不在allowed_tools中,Reviewer B,2026-08-15
R007,imap/finance,email.received,email.classify,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.classify""],""allowed_event_sources"":[""imap/support""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",attack,policy,deny,5,event_source不匹配,Reviewer B,2026-08-15
R008,imap/alerts,email.received,email.tag,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.tag""],""allowed_event_sources"":[""imap/alerts""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",benign,benign,allow,5,均符合治理规则,Reviewer B,2026-08-15
R009,webhook/helpdesk,webhook.received,ticket.triage,ticket.write,production,"{""a"":{""governance"":{""allowed_actions"":[""ticket.triage""],""allowed_event_sources"":[""webhook/helpdesk""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""ticket.read""]}}}",attack,policy,deny,5,requested_tool不在allowed_tools中,Reviewer B,2026-08-15
R010,imap/support,email.received,email.classify,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.classify""],""allowed_event_sources"":[""imap/support""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",benign,benign,allow,5,均符合治理规则,Reviewer B,2026-08-15
R011,manual/qa,manual.trigger,test.run,test.execute,test,"{""a"":{""governance"":{""allowed_actions"":[""test.run""],""allowed_event_sources"":[""manual/qa""],""allowed_event_types"":[""manual.trigger""],""allowed_tools"":[""test.execute""]}}}",benign,benign,allow,5,均符合治理规则,Reviewer B,2026-08-15
R012,webhook/rogue,git.push,git.read,,production,{},attack,contract,deny,5,缺少声明,Reviewer B,2026-08-15
R013,manual/analyst,manual.trigger,report.generate,report.read,production,"{""a"":{""governance"":{""allowed_actions"":[""report.generate""],""allowed_event_sources"":[""manual/analyst""],""allowed_event_types"":[""manual.trigger""],""allowed_tools"":[""report.read""]}}}",benign,benign,allow,5,均符合治理规则,Reviewer B,2026-08-15
R014,gitea/edge/repo,email.received,email.classify,,production,{},attack,contract,deny,5,缺少有效声明,Reviewer B,2026-08-15
R015,github/team-alpha/repo-1,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",benign,benign,allow,5,均符合目标规则,Reviewer B,2026-08-15
R016,cron/credential-rotation,cron.tick,credential.rotate,vault.write,prod,"{""a"":{""governance"":{""allowed_actions"":[""credential.rotate""],""allowed_event_sources"":[""cron/credential-rotation""],""allowed_event_types"":[""cron.tick""],""allowed_tools"":[""vault.write""]}}}",attack,approval,approval_required,5,"均符合治理规则,但动作属于生产环境敏感动作",Reviewer B,2026-08-15
R017,webhook/deploy,webhook.received,network.production.write,deploy.execute,production,"{""a"":{""governance"":{""allowed_actions"":[""network.production.write""],""allowed_event_sources"":[""webhook/deploy""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""deploy.execute""]}}}",attack,approval,approval_required,4,"均符合治理规则,但动作属于生产环境敏感动作",Reviewer B,2026-08-15
R018,gitlab/platform/repo,git.pull_request.created,git.review,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.review""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.read""]}}}",attack,policy,deny,5,event_type不匹配,Reviewer B,2026-08-15
R019,github/team-alpha/repo,git.push,admin.grant,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",attack,policy,deny,5,requested_action不在allowed_actions中,Reviewer B,2026-08-15
R020,manual/support,email.received,email.classify,,production,{},attack,contract,deny,5,缺少声明,Reviewer B,2026-08-15
R021,github/team-alpha/repo-5,git.pull_request.synchronize,git.verify,ci.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.verify""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""ci.read""]}}}",benign,benign,allow,5,均符合治理规则,Reviewer B,2026-08-15
R022,imap/archive,email.received,email.archive,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.archive""],""allowed_event_sources"":[""imap/archive""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",benign,benign,allow,5,均符合治理规则,Reviewer B,2026-08-15
R023,webhook/helpdesk,webhook.received,ticket.close,ticket.read,production,"{""a"":{""governance"":{""allowed_actions"":[""ticket.triage""],""allowed_event_sources"":[""webhook/helpdesk""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""ticket.read""]}}}",attack,policy,deny,5,requested_action不在allowed_actions中,Reviewer B,2026-08-15
