review_id,event_source,event_type,requested_action,requested_tool,environment,target_governance_json,reviewer_class,reviewer_governance_layer,reviewer_expected_enforce_decision,reviewer_confidence_1_5,reviewer_notes,reviewer_name,reviewed_at
R001,gitea/foreign/repo,git.issue.opened,git.triage,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.triage""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R002,webhook/helpdesk,webhook.received,ticket.triage,ticket.read,production,"{""a"":{""governance"":{""allowed_actions"":[""ticket.triage""],""allowed_event_sources"":[""webhook/helpdesk""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""ticket.read""]}}}",,,,,,,
R003,gitea/edge/device-1,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""gitea/edge/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R004,webhook/forms,webhook.received,form.validate,form.read,test,"{""a"":{""governance"":{""allowed_actions"":[""form.validate""],""allowed_event_sources"":[""webhook/forms""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""form.read""]}}}",,,,,,,
R005,gitlab/platform/service-1,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R006,github/team-alpha/repo,git.push,git.read,shell.exec,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R007,imap/finance,email.received,email.classify,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.classify""],""allowed_event_sources"":[""imap/support""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",,,,,,,
R008,imap/alerts,email.received,email.tag,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.tag""],""allowed_event_sources"":[""imap/alerts""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",,,,,,,
R009,webhook/helpdesk,webhook.received,ticket.triage,ticket.write,production,"{""a"":{""governance"":{""allowed_actions"":[""ticket.triage""],""allowed_event_sources"":[""webhook/helpdesk""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""ticket.read""]}}}",,,,,,,
R010,imap/support,email.received,email.classify,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.classify""],""allowed_event_sources"":[""imap/support""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",,,,,,,
R011,manual/qa,manual.trigger,test.run,test.execute,test,"{""a"":{""governance"":{""allowed_actions"":[""test.run""],""allowed_event_sources"":[""manual/qa""],""allowed_event_types"":[""manual.trigger""],""allowed_tools"":[""test.execute""]}}}",,,,,,,
R012,webhook/rogue,git.push,git.read,,production,{},,,,,,,
R013,manual/analyst,manual.trigger,report.generate,report.read,production,"{""a"":{""governance"":{""allowed_actions"":[""report.generate""],""allowed_event_sources"":[""manual/analyst""],""allowed_event_types"":[""manual.trigger""],""allowed_tools"":[""report.read""]}}}",,,,,,,
R014,gitea/edge/repo,email.received,email.classify,,production,{},,,,,,,
R015,github/team-alpha/repo-1,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R016,cron/credential-rotation,cron.tick,credential.rotate,vault.write,prod,"{""a"":{""governance"":{""allowed_actions"":[""credential.rotate""],""allowed_event_sources"":[""cron/credential-rotation""],""allowed_event_types"":[""cron.tick""],""allowed_tools"":[""vault.write""]}}}",,,,,,,
R017,webhook/deploy,webhook.received,network.production.write,deploy.execute,production,"{""a"":{""governance"":{""allowed_actions"":[""network.production.write""],""allowed_event_sources"":[""webhook/deploy""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""deploy.execute""]}}}",,,,,,,
R018,gitlab/platform/repo,git.pull_request.created,git.review,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.review""],""allowed_event_sources"":[""gitlab/platform/*""],""allowed_event_types"":[""git.issue.*""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R019,github/team-alpha/repo,git.push,admin.grant,repo.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R020,manual/support,email.received,email.classify,,production,{},,,,,,,
R021,github/team-alpha/repo-5,git.pull_request.synchronize,git.verify,ci.read,test,"{""a"":{""governance"":{""allowed_actions"":[""git.verify""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.pull_request.*""],""allowed_tools"":[""ci.read""]}}}",,,,,,,
R022,imap/archive,email.received,email.archive,mail.read,production,"{""a"":{""governance"":{""allowed_actions"":[""email.archive""],""allowed_event_sources"":[""imap/archive""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",,,,,,,
R023,webhook/helpdesk,webhook.received,ticket.close,ticket.read,production,"{""a"":{""governance"":{""allowed_actions"":[""ticket.triage""],""allowed_event_sources"":[""webhook/helpdesk""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""ticket.read""]}}}",,,,,,,
R024,manual/operator,git.push,git.read,,production,{},,,,,,,
R025,cron/daily-report,cron.tick,report.generate,report.read,production,"{""a"":{""governance"":{""allowed_actions"":[""report.generate""],""allowed_event_sources"":[""cron/daily-report""],""allowed_event_types"":[""cron.tick""],""allowed_tools"":[""report.read""]}}}",,,,,,,
R026,webhook/monitor,webhook.received,alert.notify,alert.send,production,"{""a"":{""governance"":{""allowed_actions"":[""alert.notify""],""allowed_event_sources"":[""webhook/monitor""],""allowed_event_types"":[""webhook.received""],""allowed_tools"":[""alert.send""]}}}",,,,,,,
R027,manual/operator,manual.trigger,filesystem.delete,filesystem.write,production,"{""a"":{""governance"":{""allowed_actions"":[""filesystem.delete""],""allowed_event_sources"":[""manual/operator""],""allowed_event_types"":[""manual.trigger""],""allowed_tools"":[""filesystem.write""]}}}",,,,,,,
R028,github/team-alpha/repo,email.received,email.classify,,production,{},,,,,,,
R029,github/team-beta/repo,git.push,git.read,repo.read,production,"{""a"":{""governance"":{""allowed_actions"":[""git.read""],""allowed_event_sources"":[""github/team-alpha/*""],""allowed_event_types"":[""git.push""],""allowed_tools"":[""repo.read""]}}}",,,,,,,
R030,imap/sales,email.received,email.draft,mail.read,test,"{""a"":{""governance"":{""allowed_actions"":[""email.draft""],""allowed_event_sources"":[""imap/sales""],""allowed_event_types"":[""email.received""],""allowed_tools"":[""mail.read""]}}}",,,,,,,
